DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
WINDHAM SCHOOL DISTRICT,'236903,22,DARRINGTON UNIT,'236903004,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,ELLIS UNIT,'236903006,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,EASTHAM UNIT,'236903007,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,FERGUSON UNIT,'236903008,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GOREE UNIT,'236903009,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HUNTSVILLE (WALLS) UNIT,'236903010,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,JESTER I UNIT,'236903011,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,RAMSEY I UNIT,'236903012,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,A M STRINGFELLOW UNIT,'236903013,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WAYNE SCOTT UNIT,'236903014,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WYNNE UNIT,'236903015,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MOUNTAIN VIEW UNIT,'236903016,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,C T TERRELL UNIT,'236903017,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,CHRISTINA CRAIN UNIT,'236903018,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,BETO I UNIT,'236903019,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HILLTOP UNIT,'236903020,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,POWLEDGE UNIT,'236903021,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,JESTER III UNIT,'236903022,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LUTHER UNIT,'236903023,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,PACK UNIT,'236903024,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,ESTELLE UNIT,'236903026,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MICHAEL UNIT,'236903028,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,DANIEL UNIT,'236903030,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HIGHTOWER UNIT,'236903031,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HOBBY UNIT,'236903032,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HUGHES UNIT,'236903033,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LEWIS UNIT,'236903034,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,CLEMENTS UNIT,'236903035,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,ROACH UNIT,'236903036,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,BRISCOE UNIT,'236903037,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,BOYD UNIT,'236903038,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,ROBERTSON UNIT,'236903039,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MCCONNELL UNIT,'236903040,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,SMITH UNIT,'236903041,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,TORRES UNIT,'236903042,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,JESTER IV UNIT,'236903043,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,JORDAN UNIT,'236903044,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,POLUNSKY UNIT,'236903045,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,STILES UNIT,'236903046,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LYNAUGH UNIT,'236903047,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WALLACE UNIT,'236903049,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,STEVENSON UNIT,'236903050,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HOLLIDAY UNIT,'236903051,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MIDDLETON UNIT,'236903052,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GURNEY UNIT,'236903053,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,NEAL UNIT,'236903054,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,DALHART UNIT,'236903055,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MONTFORD UNIT,'236903056,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,ALLRED UNIT,'236903057,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,TELFORD UNIT,'236903058,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HODGE UNIT,'236903059,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,CONNALLY UNIT,'236903060,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,COLE STATE JAIL,'236903061,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WOODMAN STATE JAIL,'236903062,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,SANCHEZ STATE JAIL,'236903063,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LOPEZ STATE JAIL,'236903064,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WARE UNIT,'236903065,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,FORMBY STATE JAIL,'236903066,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LYCHNER STATE JAIL,'236903067,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,DOMINGUEZ STATE JAIL,'236903068,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GIST STATE JAIL,'236903069,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HUTCHINS STATE JAIL,'236903070,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,PLANE STATE JAIL,'236903071,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MURRAY UNIT,'236903072,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GARZA WEST UNIT,'236903073,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,SAYLE (SATF),'236903074,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HAVINS (SATF),'236903075,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GLOSS BRENNER (SATF),'236903076,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,NEY STATE JAIL,'236903077,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,JOHNSTON (SATF),'236903078,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,WHEELER STATE JAIL,'236903079,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,RUDD (SATF),'236903080,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HENLEY STATE JAIL,'236903081,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GOODMAN (SATF),'236903082,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HALBERT UNIT,'236903083,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MOORE UNIT,'236903084,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,SEGOVIA UNIT,'236903085,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,LE BLANC UNIT,'236903086,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,KEGANS STATE JAIL,'236903087,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,BATEN UNIT,'236903088,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,DUNCAN UNIT,'236903089,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,COTULLA UNIT,'236903090,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,FORT STOCKTON UNIT,'236903091,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,TULIA UNIT,'236903092,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,TRAVIS COUNTY STATE JAIL,'236903093,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,HAMILTON UNIT,'236903094,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,BYRD UNIT,'236903095,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,GARZA EAST UNIT,'236903096,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,SAN SABA UNIT,'236903097,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MARLIN UNIT,'236903098,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,VANCE UNIT,'236903099,0, , , , , , , , , , 
WINDHAM SCHOOL DISTRICT,'236903,22,MATTHEW GAINES H S,'236903180,22, , , , , , , , , , 
"WINDHAM SCHOOL DISTRICT
TOTAL",'236903,22,,,22, , , , , , , , , , 
HEMPSTEAD ISD,'237902,1583,HEMPSTEAD H S,'237902001,445, , , , , ,40,4,2,17,25
HEMPSTEAD ISD,'237902,1583,"HEMPSTEAD ALTERNATIVE
LEARNING CENTER",'237902004,10, , , , , , , , , , 
HEMPSTEAD ISD,'237902,1583,HEMPSTEAD MIDDLE,'237902041,337, , , , , ,19,4,2,6,15
HEMPSTEAD ISD,'237902,1583,HEMPSTEAD EL,'237902101,791, , , , , ,38,11,2,11,36
HEMPSTEAD ISD,'237902,1583,,"Multiple
Campus",, , , , , ,0,2,0,1,1
HEMPSTEAD ISD TOTAL,'237902,1583,,,1583, , , , , ,97,21,6,35,77
WALLER ISD,'237904,8429,WALLER H S,'237904002,2480, , , , , ,17,16,0,0,33
WALLER ISD,'237904,8429,WALLER J H,'237904041,960, , , , , ,*,9,*,*,*
WALLER ISD,'237904,8429,SCHULTZ J H,'237904043,1074, , , , , ,10,16,0,0,26
WALLER ISD,'237904,8429,ROBERTS ROAD EL,'237904101,891, , , , , ,46,10,0,0,56
WALLER ISD,'237904,8429,I T HOLLEMAN EL,'237904102,667, , , , , ,40,9,0,1,48
WALLER ISD,'237904,8429,H T JONES EL,'237904104,692, , , , , ,23,9,0,0,32
WALLER ISD,'237904,8429,WALLER J J A E P,'237904105,0, , , , , , , , , , 
WALLER ISD,'237904,8429,FIELDS STORE EL,'237904106,651, , , , , ,55,16,0,0,71
WALLER ISD,'237904,8429,EVELYN TURLINGTON EL,'237904107,1014, , , , , ,51,12,0,0,63
WALLER ISD TOTAL,'237904,8429,,,8429, , , , , ,*,97,*,*,*
ROYAL ISD,'237905,2584,ROYAL H S,'237905002,778, , , , , , , , , , 
ROYAL ISD,'237905,2584,ROYAL J H,'237905041,624, , , , , , , , , , 
ROYAL ISD,'237905,2584,ROYAL EL,'237905105,711, , , , , , , , , , 
ROYAL ISD,'237905,2584,ROYAL EARLY CHILDHOOD CENTER,'237905106,471, , , , , , , , , , 
ROYAL ISD TOTAL,'237905,2584,,,2584, , , , , , , , , , 
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,MONAHANS H S,'238902001,609, , , , , ,53,6,0,0,59
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,MONAHANS ED CTR,'238902002,20, , , , , , , , , , 
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,WALKER J H,'238902041,361, , , , , ,29,3,0,0,32
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,SUDDERTH EL,'238902107,461, , , , , ,30,5,0,0,35
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,TATOM EL,'238902108,472, , , , , ,19,4,1,0,22
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,GEORGE CULLENDER KIND,'238902109,195, , , , , ,11,9,0,1,19
MONAHANS-WICKETT-PYOTE ISD,'238902,2118,,"Multiple
Campus",, , , , , ,0,2,0,0,2
"MONAHANS-WICKETT-PYOTE
ISD TOTAL",'238902,2118,,,2118, , , , , ,142,29,1,1,169
GRANDFALLS-ROYALTY ISD,'238904,144,GRANDFALLS-ROYALTY SCHOOL,'238904001,144, , , , , , , , , , 
"GRANDFALLS-ROYALTY ISD
TOTAL",'238904,144,,,144, , , , , , , , , , 
BRENHAM ISD,'239901,4882,BRENHAM H S,'239901001,1566,*,0,*,*,*,68,15,0,10,73
BRENHAM ISD,'239901,4882,BRENHAM MIDDLE,'239901041,695,*,0,*,*,*,67,17,0,0,84
BRENHAM ISD,'239901,4882,BRENHAM J H,'239901042,784, , , , , ,73,21,0,1,93
BRENHAM ISD,'239901,4882,ALTON EL,'239901101,454,*,0,*,*,*,17,9,0,0,26
BRENHAM ISD,'239901,4882,BRENHAM EL,'239901102,608, , , , , ,43,16,0,0,59
BRENHAM ISD,'239901,4882,KRAUSE EL,'239901103,578,*,0,*,*,*,17,13,10,0,20
BRENHAM ISD,'239901,4882,"BRENHAM EARLY CHILDHOOD
LEARNING CENTER",'239901106,197, , , , , ,*,3,*,*,*
BRENHAM ISD,'239901,4882,,"Multiple
Campus",, , , , , ,0,1,0,0,1
BRENHAM ISD TOTAL,'239901,4882,,,4882,*,0,*,*,*,*,95,*,*,*
BURTON ISD,'239903,527,BURTON H S,'239903001,229, , , , , ,*,0,*,*,*
BURTON ISD,'239903,527,BURTON EL,'239903101,298, , , , , , , , , , 
BURTON ISD TOTAL,'239903,527,,,527, , , , , ,*,0,*,*,*
"TEXAS A&M INTERNATIONAL
UNIVERSITY ISD",'240503,0,"JULIETA&FRANK STAGGS ACAD OF
INT'L & STEM STUDIES",'240503001,0, , , , , , , , , , 
"TEXAS A&M INTERNATIONAL
UNIVERSITY ISD TOTAL",'240503,0,,,0, , , , , , , , , , 
"TRIUMPH PUBLIC HIGH
SCHOOLS-LAREDO",'240801,192,"TRIUMPH PUBLIC HIGH
SCHOOLS-LAREDO NORTH",'240801001,113, , , , , , , , , , 
"TRIUMPH PUBLIC HIGH
SCHOOLS-LAREDO",'240801,192,"TRIUMPH PUBLIC HIGH
SCHOOLS-LAREDO SOUTH",'240801002,79, , , , , , , , , , 
"TRIUMPH PUBLIC HIGH
SCHOOLS-LAREDO TOTAL",'240801,192,,,192, , , , , , , , , , 
LAREDO ISD,'240901,19783,MARTIN H S,'240901001,1945, , , , , ,5,2,0,0,7
LAREDO ISD,'240901,19783,NIXON H S,'240901002,2205, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,DR LEO CIGARROA H S,'240901003,1509, , , , , ,*,4,*,*,*
LAREDO ISD,'240901,19783,F S LARA ACADEMY,'240901007,<30, , , , , ,0,2,0,0,2
LAREDO ISD,'240901,19783,"HECTOR J GARCIA EARLY
COLLEGE H S",'240901008,401, , , , , , , , , , 
LAREDO ISD,'240901,19783,WEBB COUNTY J J A E P,'240901010,<10, , , , , , , , , , 
LAREDO ISD,'240901,19783,CHRISTEN MIDDLE,'240901041,1047, , , , , ,0,6,0,0,6
LAREDO ISD,'240901,19783,LAMAR MIDDLE,'240901042,1291, , , , , ,*,0,*,*,*
LAREDO ISD,'240901,19783,JOAQUIN CIGARROA MIDDLE,'240901043,1069, , , , , ,*,1,*,*,*
LAREDO ISD,'240901,19783,MEMORIAL MIDDLE,'240901044,644, , , , , ,*,1,*,*,*
LAREDO ISD,'240901,19783,BRUNI EL,'240901101,436, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,DON JOSE GALLEGO,'240901102,561, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,DAICHES EL,'240901104,350, , , , , ,*,1,*,*,*
LAREDO ISD,'240901,19783,FARIAS EL,'240901105,516, , , , , ,*,6,*,*,*
LAREDO ISD,'240901,19783,HEIGHTS EL,'240901106,476, , , , , ,7,5,0,0,12
LAREDO ISD,'240901,19783,TARVER EL,'240901107,405, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,LEYENDECKER EL,'240901108,397, , , , , ,*,0,*,*,*
LAREDO ISD,'240901,19783,MACDONELL EL,'240901109,426, , , , , ,*,1,*,*,*
LAREDO ISD,'240901,19783,MILTON EL,'240901110,646, , , , , ,*,3,*,*,*
LAREDO ISD,'240901,19783,PIERCE EL,'240901111,653, , , , , ,*,3,*,*,*
LAREDO ISD,'240901,19783,RYAN EL,'240901112,706, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,SANTA MARIA EL,'240901115,485, , , , , ,*,2,*,*,*
LAREDO ISD,'240901,19783,SANTO NINO EL,'240901116,497, , , , , ,*,1,*,*,*
LAREDO ISD,'240901,19783,D D HACHAR EL,'240901119,446, , , , , ,0,1,0,0,1
LAREDO ISD,'240901,19783,J C MARTIN JR EL,'240901120,450, , , , , ,0,1,0,0,1
LAREDO ISD,'240901,19783,H B ZACHRY EL,'240901121,505, , , , , ,*,3,*,*,*
LAREDO ISD,'240901,19783,J KAWAS EL,'240901122,325, , , , , ,0,2,0,0,2
LAREDO ISD,'240901,19783,DOVALINA EL,'240901123,356, , , , , ,*,3,*,*,*
LAREDO ISD,'240901,19783,LIGARDE EL,'240901124,503, , , , , ,0,3,0,0,3
LAREDO ISD,'240901,19783,T SANCHEZ EL / H OCHOA EL,'240901125,504, , , , , ,0,1,0,0,1
LAREDO ISD TOTAL,'240901,19783,,,19783, , , , , ,58,62,0,0,120
UNITED ISD,'240903,39115,UNITED H S,'240903001,3783, , , , , ,32,25,3,23,31
UNITED ISD,'240903,39115,UNITED SOUTH H S,'240903002,3172,0,1,0,0,1,21,23,3,18,23
UNITED ISD,'240903,39115,JOHN B ALEXANDER H S,'240903003,3008,0,1,0,0,1,14,33,5,18,24
UNITED ISD,'240903,39115,UNITED STEP ACADEMY,'240903004,94, , , , , ,*,0,*,*,*
UNITED ISD,'240903,39115,"JUVENILLE JUSTICE ALTERNATIVE
PROGRAM",'240903006,<10, , , , , , , , , , 
UNITED ISD,'240903,39115,LYNDON B JOHNSON,'240903009,3130,0,1,0,1,0,31,45,0,25,51
UNITED ISD,'240903,39115,"YOUTH VILLAGE DETENTION
CENTER",'240903030,20, , , , , , , , , , 
UNITED ISD,'240903,39115,YOUTH RECOVERY HOME,'240903031,11, , , , , , , , , , 
UNITED ISD,'240903,39115,"CASA ESPERANZA RECOVERY
HOME",'240903032,<10, , , , , , , , , , 
UNITED ISD,'240903,39115,UNITED MIDDLE,'240903041,1091, , , , , ,*,14,*,*,*
UNITED ISD,'240903,39115,UNITED SOUTH MIDDLE,'240903043,1160, , , , , ,*,5,*,*,*
UNITED ISD,'240903,39115,SALVADOR GARCIA MIDDLE,'240903044,401, , , , , ,*,3,*,*,*
UNITED ISD,'240903,39115,GEORGE WASHINGTON MIDDLE,'240903045,1161,0,1,0,0,1,*,10,*,*,*
UNITED ISD,'240903,39115,CLARK MIDDLE,'240903046,533, , , , , ,*,7,*,*,*
UNITED ISD,'240903,39115,LOS OBISPOS MIDDLE,'240903047,903, , , , , ,*,15,*,*,*
UNITED ISD,'240903,39115,TRAUTMANN MIDDLE,'240903048,619, , , , , ,*,11,*,*,*
UNITED ISD,'240903,39115,ANTONIO GONZALEZ MIDDLE,'240903053,596, , , , , ,*,5,*,*,*
UNITED ISD,'240903,39115,LAMAR BRUNI VERGARA MIDDLE,'240903054,1050, , , , , ,5,11,0,9,7
UNITED ISD,'240903,39115,RAUL PERALES MIDDLE,'240903055,536, , , , , ,*,2,*,*,*
UNITED ISD,'240903,39115,ELIAS HERRERA MIDDLE,'240903058,1102,0,1,0,0,1,*,12,*,*,*
UNITED ISD,'240903,39115,NYE EL,'240903103,626, , , , , ,*,4,*,*,*
UNITED ISD,'240903,39115,CLARK EL,'240903105,375, , , , , ,*,8,*,*,*
UNITED ISD,'240903,39115,SALINAS EL,'240903107,676, , , , , ,0,4,0,1,3
UNITED ISD,'240903,39115,NEWMAN EL,'240903109,330, , , , , ,*,3,*,*,*
UNITED ISD,'240903,39115,TRAUTMANN EL,'240903110,653, , , , , ,*,8,*,*,*
UNITED ISD,'240903,39115,SIGIFREDO PEREZ EL,'240903111,490, , , , , ,*,2,*,*,*
UNITED ISD,'240903,39115,FINLEY EL,'240903112,417, , , , , ,*,7,*,*,*
UNITED ISD,'240903,39115,AMPARO GUTIERREZ EL,'240903114,371, , , , , ,*,4,*,*,*
UNITED ISD,'240903,39115,RUIZ EL,'240903115,597, , , , , ,0,9,1,6,2
UNITED ISD,'240903,39115,MATIAS DE LLANO EL,'240903116,388,0,3,0,2,1,0,10,0,6,4
UNITED ISD,'240903,39115,KAZEN EL,'240903117,365, , , , , ,0,5,1,2,2
UNITED ISD,'240903,39115,JUAREZ/LINCOLN EL,'240903118,540, , , , , ,*,7,*,*,*
UNITED ISD,'240903,39115,PRADA EL,'240903119,604, , , , , ,*,14,*,*,*
UNITED ISD,'240903,39115,CHARLES BORCHERS EL,'240903120,537, , , , , ,*,4,*,*,*
UNITED ISD,'240903,39115,KENNEDY ZAPATA EL,'240903121,335, , , , , ,*,4,*,*,*
UNITED ISD,'240903,39115,COL SANTOS BENAVIDES EL,'240903122,890, , , , , ,*,19,*,*,*
UNITED ISD,'240903,39115,FRANKLIN D ROOSEVELT EL,'240903123,547, , , , , ,*,4,*,*,*
UNITED ISD,'240903,39115,JUDITH ZAFFIRINI EL,'240903124,525, , , , , ,*,7,*,*,*
UNITED ISD,'240903,39115,HENRY CUELLAR EL,'240903125,527, , , , , ,*,6,*,*,*
UNITED ISD,'240903,39115,JULIA BIRD JONES MULLER EL,'240903126,768, , , , , ,*,9,*,*,*
UNITED ISD,'240903,39115,JOHN W ARNDT EL,'240903127,706,0,2,0,1,1,*,16,*,*,*
UNITED ISD,'240903,39115,BONNIE L GARCIA EL,'240903128,625,0,1,0,1,0,*,13,*,*,*
UNITED ISD,'240903,39115,RODOLFO C CENTENO EL,'240903129,753, , , , , ,*,14,*,*,*
UNITED ISD,'240903,39115,DR MALAKOFF EL,'240903130,512, , , , , ,*,5,*,*,*
UNITED ISD,'240903,39115,BARBARA FASKEN EL,'240903131,704, , , , , ,*,9,*,*,*
UNITED ISD,'240903,39115,RADCLIFFE & SUE KILLAM EL,'240903132,487, , , , , ,*,7,*,*,*
UNITED ISD,'240903,39115,VETERANS MEMORIAL EL,'240903133,712, , , , , ,*,11,*,*,*
UNITED ISD,'240903,39115,FREEDOM EL,'240903134,558, , , , , ,*,6,*,*,*
UNITED ISD,'240903,39115,SAN ISIDRO EL,'240903135,779,0,1,0,0,1,9,9,1,6,11
UNITED ISD,'240903,39115,ROBERTO J SANTOS EL,'240903136,338, , , , , ,*,4,*,*,*
UNITED ISD TOTAL,'240903,39115,,,39115,0,12,0,5,7,221,453,33,308,333
WEBB CISD,'240904,260,BRUNI H S,'240904001,87, , , , , , , , , , 
WEBB CISD,'240904,260,WEBB D A E P,'240904002,0, , , , , , , , , , 
WEBB CISD,'240904,260,JJAEP,'240904003,<10, , , , , , , , , , 
WEBB CISD,'240904,260,BRUNI MIDDLE,'240904041,<60, , , , , , , , , , 
WEBB CISD,'240904,260,OILTON EL,'240904102,115, , , , , , , , , , 
WEBB CISD TOTAL,'240904,260,,,260, , , , , , , , , , 
BOLING ISD,'241901,1147,BOLING H S,'241901001,347, , , , , , , , , , 
BOLING ISD,'241901,1147,IAGO J H,'241901041,274, , , , , , , , , , 
BOLING ISD,'241901,1147,NEWGULF EL,'241901101,526, , , , , , , , , , 
BOLING ISD TOTAL,'241901,1147,,,1147, , , , , , , , , , 
EAST BERNARD ISD,'241902,970,EAST BERNARD H S,'241902001,311, , , , , ,*,0,*,*,*
EAST BERNARD ISD,'241902,970,EAST BERNARD J H,'241902041,279, , , , , ,*,1,*,*,*
EAST BERNARD ISD,'241902,970,EAST BERNARD EL,'241902101,380, , , , , ,*,1,*,*,*
EAST BERNARD ISD TOTAL,'241902,970,,,970, , , , , ,5,2,0,4,3
EL CAMPO ISD,'241903,3457,EL CAMPO H S,'241903001,1138, , , , , ,*,0,*,*,*
EL CAMPO ISD,'241903,3457,EL CAMPO MIDDLE,'241903041,733, , , , , ,0,1,0,0,1
EL CAMPO ISD,'241903,3457,HUTCHINS EL,'241903102,730, , , , , ,*,0,*,*,*
EL CAMPO ISD,'241903,3457,NORTHSIDE EL,'241903103,466, , , , , ,*,1,*,*,*
EL CAMPO ISD,'241903,3457,MYATT EL,'241903107,390,0,1,0,0,1,*,1,*,*,*
EL CAMPO ISD TOTAL,'241903,3457,,,3457,0,1,0,0,1,*,3,*,*,*
WHARTON ISD,'241904,1993,WHARTON H S,'241904001,620, , , , , , , , , , 
WHARTON ISD,'241904,1993,WHARTON J H,'241904042,450, , , , , , , , , , 
WHARTON ISD,'241904,1993,C G SIVELLS EL,'241904102,435, , , , , , , , , , 
WHARTON ISD,'241904,1993,WHARTON EL,'241904106,488, , , , , , , , , , 
WHARTON ISD TOTAL,'241904,1993,,,1993, , , , , , , , , , 
LOUISE ISD,'241906,520,LOUISE H S,'241906001,143, , , , , , , , , , 
LOUISE ISD,'241906,520,LOUISE J H,'241906041,119, , , , , , , , , , 
LOUISE ISD,'241906,520,LOUISE EL,'241906101,258, , , , , ,*,0,*,*,*
LOUISE ISD,'241906,520,,"Multiple
Campus",, , , , , ,47,11,10,45,3
LOUISE ISD TOTAL,'241906,520,,,520, , , , , ,*,11,*,*,*
SHAMROCK ISD,'242902,375,SHAMROCK H S,'242902001,110, , , , , , , , , , 
SHAMROCK ISD,'242902,375,SHAMROCK MIDDLE,'242902041,78, , , , , , , , , , 
SHAMROCK ISD,'242902,375,SHAMROCK EL,'242902101,187, , , , , , , , , , 
SHAMROCK ISD TOTAL,'242902,375,,,375, , , , , , , , , , 
WHEELER ISD,'242903,407,WHEELER SCHOOL,'242903001,407, , , , , , , , , , 
WHEELER ISD TOTAL,'242903,407,,,407, , , , , , , , , , 
KELTON ISD,'242905,143,KELTON SCHOOL,'242905001,143,5,1,0,4,2,*,1,*,*,*
KELTON ISD TOTAL,'242905,143,,,143,5,1,0,4,2,*,1,*,*,*
FORT ELLIOTT CISD,'242906,159,FORT ELLIOTT SCHOOL,'242906001,159, , , , , , , , , , 
FORT ELLIOTT CISD TOTAL,'242906,159,,,159, , , , , , , , , , 
BURKBURNETT ISD,'243901,3374,BURKBURNETT H S,'243901001,899, , , , , ,48,8,0,0,56
BURKBURNETT ISD,'243901,3374,GATEWAY STUDENT SUPPORT CTR,'243901002,<50, , , , , ,*,0,*,*,*
BURKBURNETT ISD,'243901,3374,WICHITA CO JJAEP,'243901003,<10, , , , , , , , , , 
