DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
"TWO DIMENSIONS
PREPARATORY ACADEMY",'101840,448,TWO DIMENSIONS AT CORSICANA,'101840102,64, , , , , , , , , , 
"TWO DIMENSIONS
PREPARATORY ACADEMY",'101840,448,TWO DIMENSIONS/VICKERY,'101840103,221, , , , , , , , , , 
"TWO DIMENSIONS
PREPARATORY ACADEMY
TOTAL",'101840,448,,,448, , , , , , , , , , 
COMQUEST ACADEMY,'101842,42,COMQUEST ACADEMY,'101842001,42, , , , , , , , , , 
COMQUEST ACADEMY TOTAL,'101842,42,,,42, , , , , , , , , , 
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - SOUTHEAST,'101845001,973, , , , , ,16,0,16,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - SOUTHWEST,'101845002,1032, , , , , ,20,0,20,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - EAST END,'101845003,966, , , , , ,21,5,25,1,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - GULFTON,'101845004,1056, , , , , ,45,2,37,8,2
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - WEST,'101845005,933, , , , , ,11,3,14,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - BRAYS OAKS,'101845006,1014, , , , , ,17,2,19,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - NORTHSIDE,'101845007,956, , , , , ,33,4,37,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - 5TH WARD,'101845008,955, , , , , ,29,3,31,1,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - WHITE OAK,'101845009,852, , , , , ,25,2,21,6,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP NORTH FOREST,'101845010,984, , , , , ,44,3,47,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - SOUTHSIDE,'101845011,911, , , , , ,23,5,27,1,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - NORTHLINE,'101845012,712, , , , , ,30,0,28,2,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - NORTHWEST,'101845013,361, , , , , ,9,3,9,3,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - HOBBY,'101845014,371, , , , , ,*,2,*,*,*
YES PREP PUBLIC SCHOOLS INC,'101845,14545,YES PREP - NORTH CENTRAL,'101845101,969, , , , , ,7,4,11,0,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,SOUTHEAST EL,'101845102,461, , , , , ,34,2,34,2,0
YES PREP PUBLIC SCHOOLS INC,'101845,14545,NORTH CENTRAL EL,'101845103,508, , , , , ,34,3,36,0,1
YES PREP PUBLIC SCHOOLS INC,'101845,14545,NORTH FOREST EL,'101845104,281, , , , , ,15,0,11,3,1
YES PREP PUBLIC SCHOOLS INC,'101845,14545,SOUTHSIDE EL,'101845105,250, , , , , ,*,2,*,*,*
"YES PREP PUBLIC SCHOOLS INC
TOTAL",'101845,14545,,,14545, , , , , ,420,45,432,29,4
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCIENCE
ACADEMY-HOUSTON",'101846001,706, , , , , ,18,13,17,14,0
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCHOOL OF
INNOVATION - HOUSTON",'101846002,516,0,1,0,1,0,12,3,12,3,0
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCHOOL OF
INGENUITY-HOUSTON",'101846003,716,0,1,0,1,0,9,4,2,11,0
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCHOOL OF
SCIENCE-HOUSTON",'101846005,330, , , , , ,6,5,4,7,0
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCHOOL OF FINE ARTS
AND TECHNOLOGY-HOUSTON",'101846006,705, , , , , ,*,8,*,*,*
HARMONY SCIENCE ACADEMY,'101846,3608,"HARMONY SCHOOL OF
EXPLORATION- HOUSTON",'101846102,635,*,2,*,*,*,16,6,13,9,0
HARMONY SCIENCE ACADEMY,'101846,3608,,"Multiple
Campus",, , , , , ,0,4,0,4,0
"HARMONY SCIENCE ACADEMY
TOTAL",'101846,3608,,,3608,*,4,*,*,*,*,43,*,*,*
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847,459,"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL",'101847101,459, , , , , ,14,1,5,6,4
"BEATRICE MAYES INSTITUTE
CHARTER SCHOOL TOTAL",'101847,459,,,459, , , , , ,14,1,5,6,4
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,168,"ACCELERATED INT CHARTER
SCHOOL",'101849041,13, , , , , , , , , , 
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,168,AIA LANCASTER MIDDLE,'101849045,0, , , , , , , , , , 
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,168,"ACCELERATED INTERDISCIPLINARY
ACAD",'101849101,155, , , , , , , , , , 
"ACCELERATED INTERMEDIATE
ACADEMY",'101849,168,AIA LANCASTER EL,'101849105,0, , , , , , , , , , 
"ACCELERATED INTERMEDIATE
ACADEMY TOTAL",'101849,168,,,168, , , , , , , , , , 
PROMISE COMMUNITY SCHOOL,'101853,1740,RIPLEY HOUSE MIDDLE CAMPUS,'101853042,163, , , , , , , , , , 
PROMISE COMMUNITY SCHOOL,'101853,1740,RIPLEY HOUSE CHARTER SCHOOL,'101853101,304, , , , , ,*,0,*,*,*
PROMISE COMMUNITY SCHOOL,'101853,1740,"NCI CHARTER SCHOOL WITHOUT
WALLS",'101853104,868, , , , , , , , , , 
PROMISE COMMUNITY SCHOOL,'101853,1740,BAKER-RIPLEY CHARTER SCHOOL,'101853106,370, , , , , ,7,1,2,6,0
PROMISE COMMUNITY SCHOOL,'101853,1740,NEW NEIGHBOR CAMPUS,'101853108,35, , , , , , , , , , 
PROMISE COMMUNITY SCHOOL,'101853,1740,,"Multiple
Campus",, , , , , ,0,1,0,1,0
"PROMISE COMMUNITY SCHOOL
TOTAL",'101853,1740,,,1740, , , , , ,*,2,*,*,*
MEYERPARK ELEMENTARY,'101855,275,MEYERPARK EL,'101855101,275, , , , , ,*,0,*,*,*
"MEYERPARK ELEMENTARY
TOTAL",'101855,275,,,275, , , , , ,*,0,*,*,*
DRAW ACADEMY,'101856,702,DRAW ACADEMY,'101856101,702, , , , , , , , , , 
DRAW ACADEMY TOTAL,'101856,702,,,702, , , , , , , , , , 
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
EXCELLENCE-HOUSTON",'101858001,828,*,0,*,*,*,8,5,6,7,0
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
ENDEAVOR-HOUSTON",'101858002,565, , , , , ,*,11,*,*,*
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCIENCE ACADEMY -
BRYAN",'101858003,388, , , , , ,*,5,*,*,*
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
ADVANCEMENT-HOUSTON",'101858004,744, , , , , ,*,4,*,*,*
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF DISCOVERY
- HOUSTON",'101858005,836, , , , , ,*,10,*,*,*
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
TECHNOLOGY-HOUSTON",'101858006,639, , , , , ,0,3,1,2,0
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
ACHIEVEMENT - HOUSTON",'101858007,640, , , , , ,64,9,43,30,0
"HARMONY SCHOOL OF
EXCELLENCE",'101858,5934,"HARMONY SCHOOL OF
ENRICHMENT - HOUSTON",'101858008,706, , , , , ,*,3,*,*,*
